database_name,espn_id,canonical_name,display_name,match_confidence,game_count,conference
UT Martin,2630,UT Martin,UT Martin Skyhawks,100,10,Unknown
Southern Indiana,84,Indiana,Indiana Hoosiers,80,10,Unknown
Cal State Northridge,2463,CSU Northridge,Cal State Northridge Matadors,100,10,Unknown
Tulsa Golden Hurricane,202,Tulsa,Tulsa Golden Hurricane,100,10,Unknown
Washington State,265,Washington St,Washington State Cougars,100,10,Unknown
Penn State,213,Penn State,Penn State Nittany Lions,100,10,Unknown
East Carolina,151,East Carolina,East Carolina Pirates,100,10,Unknown
Western Michigan,2711,W Michigan,Western Michigan Broncos,100,10,Unknown
Indiana,84,Indiana,Indiana Hoosiers,100,10,Unknown
UNC Wilmington Seahawks,350,UNC Wilmington,UNC Wilmington Seahawks,100,10,Unknown
Kentucky,96,Kentucky,Kentucky Wildcats,100,10,Unknown
Tulane Green Wave,2655,Tulane,Tulane Green Wave,100,10,Unknown
Murray State,93,Murray St,Murray State Racers,100,10,Unknown
Saint Joseph's,2603,Saint Joseph's,Saint Joseph's Hawks,100,10,Unknown
Purdue,2509,Purdue,Purdue Boilermakers,100,10,Unknown
Sacramento State,16,Sacramento St,Sacramento State Hornets,100,10,Unknown
Kent State Golden Flashes,2309,Kent State,Kent State Golden Flashes,100,10,Unknown
Maryland,120,Maryland,Maryland Terrapins,100,10,Unknown
Houston,248,Houston,Houston Cougars,100,10,Unknown
Akron,2006,Akron,Akron Zips,100,10,Unknown
Charlotte,2429,Charlotte,Charlotte 49ers,100,10,Unknown
Colorado State,36,Colorado St,Colorado State Rams,100,10,Unknown
Wichita State,2724,Wichita St,Wichita State Shockers,100,10,Unknown
Wyoming,2751,Wyoming,Wyoming Cowboys,100,10,Unknown
Arizona State,9,Arizona St,Arizona State Sun Devils,100,10,Unknown
Massachusetts,113,UMass,Massachusetts Minutemen,100,10,Unknown
Kansas State,2306,Kansas St,Kansas State Wildcats,100,10,Unknown
Seton Hall,2550,Seton Hall,Seton Hall Pirates,100,10,Unknown
Utah,254,Utah,Utah Utes,100,10,Unknown
Weber State,2692,Weber St,Weber State Wildcats,100,10,Unknown
Pennsylvania,219,Penn,Pennsylvania Quakers,100,10,Unknown
Buffalo,2084,Buffalo,Buffalo Bulls,100,10,Unknown
Minnesota,135,Minnesota,Minnesota Golden Gophers,100,10,Unknown
Pittsburgh,221,Pitt,Pittsburgh Panthers,100,10,Unknown
Gonzaga,2250,Gonzaga,Gonzaga Bulldogs,100,10,Unknown
Georgia Tech,59,Georgia Tech,Georgia Tech Yellow Jackets,100,10,Unknown
Abilene Christian,2000,Abilene Chrstn,Abilene Christian Wildcats,100,10,Unknown
Stony Brook,2619,Stony Brook,Stony Brook Seawolves,100,10,Unknown
Bowling Green,189,Bowling Green,Bowling Green Falcons,100,10,Unknown
Nevada Wolf Pack,2440,Nevada,Nevada Wolf Pack,100,10,Unknown
Portland,2501,Portland,Portland Pilots,100,10,Unknown
Miami (FL),2390,Miami,Miami Hurricanes,80,10,Unknown
Oregon State,204,Oregon St,Oregon State Beavers,100,10,Unknown
Iowa State,66,Iowa State,Iowa State Cyclones,100,10,Unknown
Rutgers,164,Rutgers,Rutgers Scarlet Knights,100,10,Unknown
Boise State,68,Boise St,Boise State Broncos,100,10,Unknown
DePaul Blue,305,DePaul,DePaul Blue Demons,80,10,Unknown
Marquette,269,Marquette,Marquette Golden Eagles,100,10,Unknown
Quinnipiac,2514,Quinnipiac,Quinnipiac Bobcats,100,10,Unknown
Southern,2582,Southern,Southern Jaguars,100,10,Unknown
Fairleigh Dickinson,161,FDU,Fairleigh Dickinson Knights,100,10,Unknown
Bradley,71,Bradley,Bradley Braves,100,10,Unknown
Southern Miss,2572,Southern Miss,Southern Miss Golden Eagles,100,10,Unknown
Wofford,2747,Wofford,Wofford Terriers,100,10,Unknown
Fairfield,2217,Fairfield,Fairfield Stags,100,10,Unknown
Louisiana Ragin' Cajuns,309,Louisiana,Louisiana Ragin' Cajuns,100,10,Unknown
Western Carolina,2717,W Carolina,Western Carolina Catamounts,100,10,Unknown
Canisius Golden Griffins,2099,Canisius,Canisius Golden Griffins,100,10,Unknown
Mississippi Valley State,2400,Miss Valley St,Mississippi Valley State Delta Devils,100,10,Unknown
Detroit Mercy,2174,Detroit Mercy,Detroit Mercy Titans,100,10,Unknown
Hampton,2261,Hampton,Hampton Pirates,100,10,Unknown
Mercyhurst,2385,Mercyhurst,Mercyhurst Lakers,100,10,Unknown
Southeast Missouri State,2546,SE Missouri,Southeast Missouri State Redhawks,100,10,Unknown
Jacksonville,294,Jacksonville,Jacksonville Dolphins,100,10,Unknown
Idaho,70,Idaho,Idaho Vandals,100,10,Unknown
East Texas A&M,2837,E Texas A&M,East Texas A&M Lions,100,10,Unknown
Illinois State,2287,Illinois St,Illinois State Redbirds,100,10,Unknown
Le Moyne,2330,Le Moyne,Le Moyne Dolphins,100,10,Unknown
UC Riverside,27,UC Riverside,UC Riverside Highlanders,100,10,Unknown
Pepperdine,2492,Pepperdine,Pepperdine Waves,100,10,Unknown
Florida Gulf Coast,526,FGCU,Florida Gulf Coast Eagles,100,10,Unknown
Charleston,232,Charleston,Charleston Cougars,100,10,Unknown
Alabama State,2011,Alabama St,Alabama State Hornets,100,10,Unknown
Morehead State,2413,Morehead St,Morehead State Eagles,100,10,Unknown
UAB,5,UAB,UAB Blazers,100,10,Unknown
San Francisco Dons,2539,San Francisco,San Francisco Dons,100,10,Unknown
Monmouth,2405,Monmouth,Monmouth Hawks,100,10,Unknown
Texas A&M,245,Texas A&M,Texas A&M Aggies,100,10,Unknown
Manhattan,2363,Manhattan,Manhattan Jaspers,100,10,Unknown
Little Rock,2031,Little Rock,Little Rock Trojans,100,10,Unknown
Loyola Marymount,2351,LMU,Loyola Marymount Lions,100,10,Unknown
Eastern Kentucky Colonels,2198,E Kentucky,Eastern Kentucky Colonels,100,10,Unknown
Southern Illinois,79,S Illinois,Southern Illinois Salukis,100,10,Unknown
California,25,California,California Golden Bears,100,10,Unknown
High Point,2272,High Point,High Point Panthers,100,10,Unknown
Clemson,228,Clemson,Clemson Tigers,100,10,Unknown
Northern Colorado,2458,N Colorado,Northern Colorado Bears,100,10,Unknown
New Mexico,167,New Mexico,New Mexico Lobos,100,10,Unknown
Drake,2181,Drake,Drake Bulldogs,100,10,Unknown
Nebraska Cornhuskers,158,Nebraska,Nebraska Cornhuskers,100,10,Unknown
Temple,218,Temple,Temple Owls,100,10,Unknown
George Mason,2244,George Mason,George Mason Patriots,100,10,Unknown
Saint Mary's,2608,Saint Mary's,Saint Mary's Gaels,100,10,Unknown
Virginia,258,Virginia,Virginia Cavaliers,100,10,Unknown
Florida,57,Florida,Florida Gators,100,9,Unknown
Villanova,222,Villanova,Villanova Wildcats,100,9,Unknown
Jackson State,2296,Jackson St,Jackson State Tigers,100,9,Unknown
Northwestern State,2466,N'Western St,Northwestern State Demons,100,9,Unknown
North Alabama,2453,North Alabama,North Alabama Lions,100,9,Unknown
Texas A&M-Corpus Christi,357,Texas A&M-CC,Texas A&M-Corpus Christi Islanders,100,9,Unknown
Sam Houston State,2534,Sam Houston,Houston Cougars,100,9,Unknown
Elon,2210,Elon,Elon Phoenix,100,9,Unknown
Vanderbilt,238,Vanderbilt,Vanderbilt Commodores,100,9,Unknown
Army,349,Army,Army Black Knights,100,9,Unknown
Western Kentucky,98,Western KY,Western Kentucky Hilltoppers,100,9,Unknown
Florida State,52,Florida St,Florida State Seminoles,100,9,Unknown
Stephen F. Austin,2617,SF Austin,Stephen F. Austin Lumberjacks,100,9,Unknown
Michigan,130,Michigan,Michigan Wolverines,100,9,Unknown
Miami (OH),193,Miami OH,Miami (OH) RedHawks,100,9,Unknown
Grand Canyon Lopes,2253,Grand Canyon,Grand Canyon Lopes,100,9,Unknown
Louisville,97,Louisville,Louisville Cardinals,100,9,Unknown
Georgia,61,Georgia,Georgia Bulldogs,100,9,Unknown
UCLA,26,UCLA,UCLA Bruins,100,9,Unknown
Baylor,239,Baylor,Baylor Bears,100,9,Unknown
LSU,99,LSU,LSU Tigers,100,9,Unknown
North Carolina,153,North Carolina,North Carolina Tar Heels,100,9,Unknown
North Dakota,155,North Dakota,North Dakota Fighting Hawks,100,9,Unknown
Mercer,2382,Mercer,Mercer Bears,100,9,Unknown
Bethune-Cookman,2065,Bethune,Bethune-Cookman Wildcats,100,9,Unknown
West Georgia,2698,West Georgia,West Georgia Wolves,100,9,Unknown
North Florida Ospreys,2454,North Florida,North Florida Ospreys,100,9,Unknown
Northeastern,111,Northeastern,Northeastern Huskies,100,9,Unknown
Cornell Big,172,Cornell,Cornell Big Red,80,9,Unknown
Arkansas,8,Arkansas,Arkansas Razorbacks,100,9,Unknown
Prairie View A&M,2504,Prairie View,Prairie View A&M Panthers,100,9,Unknown
Central Michigan,2117,C Michigan,Central Michigan Chippewas,100,9,Unknown
Washington,264,Washington,Washington Huskies,100,9,Unknown
Lamar,2320,Lamar,Lamar Cardinals,100,9,Unknown
Texas Tech,2641,Texas Tech,Texas Tech Red Raiders,100,9,Unknown
Butler,2086,Butler,Butler Bulldogs,100,9,Unknown
TCU Horned Frogs,2628,TCU,TCU Horned Frogs,100,9,Unknown
Richmond,257,Richmond,Richmond Spiders,100,9,Unknown
Ohio State,194,Ohio State,Ohio State Buckeyes,100,9,Unknown
Cincinnati,2132,Cincinnati,Cincinnati Bearcats,100,9,Unknown
Colorado,38,Colorado,Colorado Buffaloes,100,9,Unknown
Northern Arizona,2464,N Arizona,Northern Arizona Lumberjacks,100,9,Unknown
Morgan State,2415,Morgan St,Morgan State Bears,100,9,Unknown
Wagner Seahawks,2681,Wagner,Wagner Seahawks,100,9,Unknown
Niagara Purple,315,Niagara,Niagara Purple Eagles,80,9,Unknown
Rider,2520,Rider,Rider Broncs,100,9,Unknown
