# Extra (Non-Canonical D1 / Exhibition / Other Level) Teams
# Generated: 2025-11-05
# Distinct extras: 993
# Format: Team Name,Total Game Appearances (home+away combined)
# These teams are present in the normalized dataset but not in the 2024-25 D1 canonical list.
# Use this file to audit for misnamed or truncated Division I schools worth aliasing.

# --- Flagged Potential Misnamed/Truncated D1 Candidates (Review Carefully) ---
# NOTE: Do NOT blindly map; some are legitimate separate institutions (e.g., Northern Arizona).
# South Carolina Upstate -> (Canon should include USC Upstate if desired)
# St. Francis PA -> St. Francis (PA)
# Mcneese -> McNeese
# Miami OH -> Miami (OH)
# N Arizona -> Northern Arizona (if missing)
# North Carolina A&T -> North Carolina A&T (distinct D1)
# Northwestern St -> Northwestern State
# N Colorado -> Northern Colorado (distinct D1)
# Mt St Mary's -> Mount St. Mary's
# South Dakota St -> South Dakota State
# Saint Joe's -> Saint Joseph's
# N Illinois -> Northern Illinois
# St John's -> St. John's
# Tennessee St -> Tennessee State
# St Bonaventure -> St. Bonaventure
# W Illinois -> Western Illinois
# W Kentucky -> Western Kentucky
# Youngstown St -> Youngstown State
# Morgan St -> Morgan State
# W Michigan -> Western Michigan
# Washington St -> Washington State
# Mount St. Mary -> Mount St. Mary's
# Saint Mary's MN -> (Non-D1, ignore)
# Northern State / Northeastern State / Bowie State / etc. are non-D1 but fuzzy-close to D1 names.

# --- Full Extra Team List ---
Southern-New Orleans,8
Spring Hill,8
St. Ambrose,8
Westcliff,8
William Jessup,8
Cairn University,7
Campbellsville-Harrodsburg,7
Chaminade,7
Colorado Christian,7
Colorado College,7
Crowley's Ridge College,7
Ecclesia,7
Erskine,7
Fisher College,7
Florida Tech,7
Greensboro,7
Kansas Christian,7
La Sierra,7
Pfeiffer,7
Purdue Northwest,7
SAGU American Indian College,7
Schreiner,7
Southwestern Adventist,7
Warren Wilson,7
Washington College MD,7
Western New Mexico,7
Westminster UT,7
Alice Lloyd College,6
Bob Jones University,6
Carlow University,6
Dillard,6
Ecclesia College,6
Edward Waters,6
Flagler,6
Hardin-Simmons,6
Johnson & Wales NC,6
LSU Alexandria,6
Mary Baldwin,6
Mississippi College,6
Mount Marty College,6
North American University,6
North Central MN,6
Rust,6
San Francisco State,6
Tennessee Wesleyan,6
Texas Lutheran,6
Transylvania,6
Voorhees,6
Western Colorado,6
William Peace,6
Adams State,5
Alice Lloyd,5
Brescia University,5
Brewton-Parker,5
Bryn Athyn,5
Cheyney PA,5
Cleary University,5
College of Coastal Georgia,5
College of Idaho,5
Crown College,5
Eastern Oregon,5
Eureka,5
Evergreen State,5
Immaculata,5
Johnson & Wales RI,5
LeTourneau,5
Lindsey Wilson College,5
Maine-Fort Kent,5
Mary Hardin-Baylor,5
Medgar Evers,5
Menlo,5
Mississippi University For Women,5
Morris College,5
Mount Marty,5
Penn State Wilkes-Barre,5
Penn State-York,5
Regent,5
SW Christian Univ,5
Saint Mary-Of-The-Woods College,5
Southern Virginia,5
Spalding,5
Trinity Baptist College,5
Trinity IL,5
Truett-McConnell,5
Tusculum,5
Waldorf College,5
Warner Pacific,5
Webber International,5
Westmont,5
Avila,4
Bethany WV,4
Bethel TN,4
Bob Jones,4
Brevard College,4
Bridgewater College VA,4
Calumet College,4
Central Baptist College,4
Covenant College,4
Florida Memorial,4
Franciscan University,4
Franklin,4
George Fox,4
Georgian Court,4
Huston-Tillotson,4
Johnson University FL,4
Johnson University TN,4
Kean,4
Kentucky State,4
LSU Shreveport,4
La Sierra University,4
Lancaster Bible College,4
Lewis & Clark,4
Lincoln MO,4
Lincoln University CA,4
Mid-America Christian,4
Middle Georgia State,4
Montreat,4
Mount St. Joseph,4
Mount St. Vincent,4
New Mexico Highlands,4
North Texas-Dallas,4
Oakland City,4
Oglethorpe,4
Park University Gilbert,4
Penn State-Schuylkill,4
Rivier,4
Rogers State,4
SW Adventist,4
Sarah Lawrence,4
St. Francis IL,4
St. Mary's TX,4
St. Thomas TX,4
Sul Ross,4
Tennessee Southern,4
Trevecca Nazarene,4
Trinity FL,4
University of Health Sciences & Pharmacy,4
University of Saint Katherine,4
VU of Lynchburg,4
Vanguard,4
West Coast Baptist,4
Whittier,4
Wiley,4
Willamette,4
William Woods,4
Wisconsin-Stout,4
Xavier LA,4
Yellowstone Christian College,4
Allen University,3
Anderson SC,3
Antelope Valley,3
Apprentice School,3
Aquinas,3
Belhaven,3
Blackburn,3
Bluefield College,3
Bluefield University,3
Brevard,3
Bryan TN,3
Cal Maritime,3
Cal State Bakersfield,3
California Merced,3
Calvary,3
Campbellsville,3
Central Penn,3
Cincinnati Clermont,3
Coastal Georgia,3
Converse,3
Covenant,3
Dakota Wesleyan,3
Dallas,3
Dalton State,3
Embry-Riddle AZ,3
Emerson,3
Emory & Henry,3
Ferrum,3
Florida College,3
